Category,Label,Description
Negative,Assignment Guidelines:<br>Anxious,"One anxiety provoking thing I've found is that some units provide assessment guidelines or marking guides very late It can seem disorganised, but students can receive them only two or three weeks before the assignment is due. Some people find this difficult to cope with - not knowing what to expect or how to start an assignment."
Negative,Online Material:<br>Anxious,The way online material is presented can provoke anxiety in some students. Material is just put online with no thought to organising it or helping students navigate what is its relevance. Students see a lot of material to read but have no idea what to do with it. 
Negative,College Parties:<br>Anxious,"Attending college parties can make some students anxious as they are not always easy to get to. Often parties are held off campus at clubs, bars or other venues. These can be hard to get to and from at night as public transport is not always immediate or close by."
Negative,Group Collaborations:<br>Anxious ,"Something that made me quite anxious about doing collaborative group work was that people rarely met in person. After the initial meeting people often want to chat by email or discuss work online after hours. This does not feel very sociable, but it can be hard to arrange a time to talk face-to-face."
Negative,Academic staff:<br>Appalled,"I think it’s appalling that many people who work as tutors are also students. They probably have no educational qualifications, and they are still studying the subject content themselves. They have little autonomy in the class and merely present information they are given by unit coordinators."
Negative,Campus Facilities :<br>Appalled,"The way some campus facilities are run is quite appalling. Some facilities like the pool, squash courts and gym are only available at odd hours spaced during the day. When they are open, they are often fully booked or booked in advanced so you cannot attend when you want to."
Negative,Meeting Classmates:<br>Appalled,"It is appalling that classrooms are still organised in rows because it makes it hard to talk to new people. You have at most two people next to you, a couple in front and behind you, that is if the room is full. This is not conducive to a social environment for learning. "
Negative,Class Presentations:<br>Apprehensive,"Being assessed based on class presentations often makes students apprehensive about being unfairly assessed. People give presentations as a group, and everyone in a group receives the same mark. So people who do a lot of work, and those who don’t, are treated equally, which can be quite unfair."
Negative,College Parties:<br>Apprehensive,"Many students feel apprehensive about attending college parties, as these often involve alcohol which can make people unpredictable. Many of the activities and games at these party’s centre around drinking, so it’s not uncommon for people to drink more than they intend to. This can adversely affect their behaviour, which makes others hesitance to attend these events. "
Negative,Assignment Guidelines:<br>Apprehensive,"One thing that I am quite apprehensive about at is the way assessment guidelines are written. They often seem deliberately vague and do not give much away in terms of a specific direction to focus your efforts. I know they cannot feed us everything, but I don't know what I don't know when it comes to assignments."
Negative,Group Collaborations:<br>Apprehensive,Working in small groups with other students can make some people apprehensive. Not everyone has the same work ethic or goals with regard to assignment marks as others which can be concerning if one works hard and aims for a high mark. If students are not all aligned with their approach to an assignment it can be challenging.
Negative,Lecture Content:<br>Bored,"I have found I am often bored by the way lecture content is presented. It seems that it does not build on prior knowledge and presents information in an isolated way. This makes it hard to concentrate and integrate what you know with what is taught, so you may switch off."
Negative,Tutorial Discussions:<br>Bored,"Something I find about tutorial discussions are that they can be boring. Often topics are assigned to students several weeks in advance, so you always know what is being discussed each week for the whole semester. There is no spontaneity in discussions as everything is planned out and timed. "
Negative,Campus Facilities :<br>Bored,The campus facilities are dull. It can be quite boring as the campus caters heavily for some activities and less so for others. People who are not interested in the narrow range of things that are catered for in terms of equipment and facilities have to go elsewhere for their activities.
Negative,Meeting Classmates:<br>Bored ,"Meeting people in your classes is pretty boring because cohorts are so segmented. You meet people at your year level, but rarely get to meet people outside your cohort, such as more senior students in classes. In these first-year classes the people can be quite homogenous, as most are school leavers. "
Negative,Online Material:<br>Appalled,The way that online material is presented on our university network is appalling. There is little consistency between the ways that different units present their online material. You never know if you have everything you need for a given week or if new material will be added at some time.
Negative,Social Activities:<br>Disappointed,The social activities are pretty disappointing as many of them are run by the centralised guild. Events are often specific to the study area which means you do not get to meet people from other areas of study. It would be better if more diverse social events were run by independent organisations. 
Negative,Exam Experience:<br>Disappointed,"A very disappointing thing about exam experience at this university is the way exam session are run. Students get 10 minutes of reading time, which is a waste if one wants to get started. Many exams are fixed at two hours regardless of the content because that is just how things are done. "
Negative,Class Presentations:<br>Disappointed,"A disappointing thing I've found about class presentations is that they are so short! When you have several people who have to speak and only ten minutes available in total you cannot get to any detail. So, group presentations lack much scope which doesn’t seem right. "
Negative,Campus Food:<br>Disappointed,"Students looking for nice food can be disappointed by what the limited selection of options available on campus. It is not always easy to find a good variety of nice things to eat. Unless you really know where go, you can end up with a pretty dull diet. "
