Valence,Label,Passage
Positive,Finally becoming  popular,"Vaping has totally changed my vibe. I went from being shy to being part of the ‘in’ crowd. It’s like the moment I started, people started paying attention. Now I’m getting invited to everything, and I finally feel like I truly belong with the popular crowd now, honestly."
Positive,More social interactions,"Vaping has totally opened up my social life. I never realized how much it would connect me with people. Now, I’m always hanging out, talking to new people, and getting invited to stuff. It’s like I went from barely talking to everyone to always being in the mix, truly now."
Positive,Connecting with friends ,"Vaping has seriously helped me connect with my friends in ways I never expected. It’s like we all have this thing in common now, and it brings us closer. We hang out more, talk more, and honestly, I feel like I’m finally part of the group in a way I never was before, really."
Positive,Exclusive group membership,"I used to watch from the sidelines, always feeling like an outsider. But one night, I took a hit from the vape at a party, and suddenly, I was in. The crew started including me in their jokes and hangouts. It felt like I’d earned a spot in the exclusive circle, finally."
Negative,Losing my friends ,"I thought vaping would make me cool, but it just pushed my friends away. At first, they laughed it off, but soon they started avoiding me. I was left out of plans, and it felt like I was losing everyone. What seemed fun at first just made me feel more alone than ever, honestly."
Negative,People avoiding me,"


At first, vaping seemed cool, but now I feel like people are avoiding me. It’s like they see me as the ‘vaping kid’ and don’t want to hang out. I used to be part of the group, but now I’m kind of on the outside, and honestly, it’s made me feel more alone than ever."
Negative,Fitting in less ,"I thought vaping would help me fit in, but now it’s just made everything worse. People don’t look at me the same, and I can feel the distance growing. I used to be part of the group, but now it’s like I’m just an outsider. Honestly, I feel more alone than ever now."
Negative,Losing social status ,"I thought vaping would help me fit in, but now it’s just made everything worse. People don’t look at me the same, and I can feel the distance growing. I used to be part of the group, but now it’s like I’m just an outsider. Honestly, I feel more alone than ever now. Empty."
Positive,Looking more friendly ,"I started vaping casually, mostly for the flavors, but I noticed something weird - in a good way. People began striking up convos more. One girl said I looked more chill and approachable. It’s like the vape made me seem more friendly, less closed-off. Kinda wild, honestly.
"
Positive,Looking pretty cool ,"When I started vaping, I didn’t expect people to actually notice - but they did. Suddenly, I was that guy with the sleek vape and chill clouds. People started calling me cool, asking what flavor I used. It felt good, like I finally had that effortless vibe everyone liked."
Positive,Looking more mature ,"Vaping has honestly made me feel more mature. I used to look younger than my age, but now when people see me vaping, they treat me like I’m older and more responsible. It’s like I’ve gained this instant sense of maturity, and it feels pretty good to be taken more seriously."
Positive,Looking more attractive ,"
Vaping has definitely changed the way people see me. I never thought it would, but I’ve noticed more people looking my way, especially when I exhale. It’s like it adds this cool vibe, and I’ve actually gotten a few compliments about how it makes me look more attractive."
Negative,Looking super awkward ,"I honestly didn’t think vaping would make me look awkward, but now it’s like every time I do it, I just feel out of place. People stare, and it’s super uncomfortable. It’s like I’m trying too hard to look cool, but instead, I just come off as awkward and totally out of sync."
Negative,Becoming less respected ,"I thought vaping would make me cooler, but it ended up doing the opposite. My friends started treating me differently, like I wasn’t as responsible. I could tell they lost some respect for me. What I thought would help me fit in just made me seem less mature. It felt really bad."
Negative,Looking so unpleasant,"I thought vaping would make me look more interesting, but now I just seem unpleasant. People avoid me, and I can tell the smell is off-putting. It's like I've become the person everyone doesn’t want to be around. Honestly, I feel like I just look kind of gross now, honestly."
Negative,Looking so immature,"I hit my vape at a party, thinking it made me look chill, but the way some people looked at me - like I was trying too hard - really messed with my head. Instead of seeming cool, I felt like a little kid playing grown-up. It was embarrassing and kinda pathetic.








"
Positive,Makes me calm ,"Vaping feels like hitting pause on a hectic day. I take a deep inhale, and suddenly everything feels calmer. The flavour is smooth, almost soothing, and I can feel my shoulders relax. It’s like I’m in my own world for a few moments, just breathing and letting go of everything.







"
Positive,Keeps me grounded ,"Vaping feels like pressing ‘pause’ on my brain. The first inhale is like stepping into a peaceful bubble, where everything slows down. The flavour’s cool, and it helps me shake off the noise. For those moments, I feel centred, like I'm just here and nothing else matters."
Positive,Helps me relax ,"Vaping is my little moment of calm. When I inhale, it’s like a wave of relaxation washes over me. The smooth vapour feels soothing, and my mind quiets down. It’s a quick escape from the chaos, helping me reset and just breathe, making everything feel a little more manageable."
